0x0,Properties end
0x8001,Lightest camera shake
0x8002,Light camera shake
0x8003,Moderate camera shake
0x8004,Heavy camera shake
0x8005,Custom camera shake
0x8006,Lightest camera shake
0x8007,Light camera shake
0x8008,Moderate camera shake
0x8009,Heavy camera shake
0x800a,Custom camera shake
0x800b,Ground Ripple
0x800e,Break Tile
0x800f,Medium Ground Ripple
0x8010,Heavy Ground Ripple
0x8011,Fire burn VFX (self)
0x8012,Fire burn VFX (opponent)
0x8017,Play VFX (self)
0x8018,Hit VFX (self)
0x8019,Electric VFX (self)
0x801a,Electric VFX (opponent)
0x801b,Heat Smash VFX (self)
0x8025,Play VFX (self)
0x8031,Char Hit Spart VFX (self)
0x8039,Char trail VFX (self)
0x8046,Stage VFX
0x8049,Enable Homing VFX
0x804b,Tile-break VFX (self)
0x8079,Throw VFX (self)
0x807a,Throw VFX (opponent)
0x807c,Block VFX (self)
0x807d,Sparks on self (?)
0x807f,Small sparks VFX (self)
0x8087,Do self (perma) damage
0x8088,Heal (perma) Health
0x809b,Store value (req 335)
0x809c,0x809b += value
0x809d,0x809b -= value
0x80c5,Store value (req 358)
0x80c6,0x80c5 += value
0x80c7,0x80c5 -= value
0x80c8,Store value (req 359)
0x80c9,0x80c8 += value
0x80ca,0x80c8 -= value
0x80cb,Store value (req 360)
0x80cc,0x80cb += value
0x80cd,0x80cb -= value
0x80dc,Kazuya Devil
0x80dd,devil += value
0x80de,devil -= value
0x80df,devil |= value
0x80e0,devil &= value
0x80e4,Store value (req 352)
0x80e5,0x80e4 += value
0x80e6,0x80e4 -= value
0x80f0,Store value (req 356)
0x80f1,0x80e4 += value
0x80f2,0x80e4 -= value
0x8123,opponent Kazuya Devil
0x8124,opponent devil += value
0x8125,opponent devil -= value
0x8126,opponent devil |= value
0x8127,opponent devil &= value
0x8128,short flag
0x8129,short flag += value
0x812a,short flag -= value
0x812b,opponent short flag
0x812c,opponent short flag += value
0x812d,opponent short flag -= value
0x8139,Show/Hide Heat Meter
0x8146,Inflict Chip dmg (self)
0x814a,Raven clone horizontal offset
0x814b,Add recoverable health
0x814d,Heat-dash related
0x8151,Activate devil permanently
0x81ec,Allow Blocking
0x81ed,Give CH property
0x81f1,Detach position
0x81f5,Detach height (smooth)
0x81f6,Detach height (instant)
0x81f8,Give Parry immunity
0x81fa,Add tracking (self)
0x81fb,Add tracking (opponent)
0x81fc,Change VULN
0x81fd,Detach characters
0x81fe,Change collision status
0x8203,Footstep SFX+VFX
0x822d,Power Crush
0x822e,Rage Art activate VFX
0x8232,Fill Kazama essence
0x8238,Skip move frames
0x8239,Skip move frames (+N)
0x823a,Skip move frames (-N)
0x823b,Skip move frames (=N+0x1000)
0x823c,Skip move frames (=N+0x2000)
0x823f,Skip move frames (=N+0x4000)
0x8240,Skip move frames (=N+0x8000)
0x8244,Force move on opponent
0x8245,Force move on opponent
0x8246,Set player speed
0x8247,Player speed += value
0x8248,Set opponent speed
0x8249,Opponent speed += value
0x824a,Set max player speed
0x824b,Set min player speed
0x824c,Change animation
0x8251,Eased Horizontal Movement
0x8252,Eased Vertical Movement
0x8254,Break floor
0x8258,Inflict pushback (self)
0x825a,Align with pushback (self)
0x825b,Align with pushback (self, backwards)
0x825c,Enable/Disable Gravity
0x825d,Inflict pushback (opponent)
0x825f,Align with pushback (opponent)
0x8260,Align with pushback (opponent, backwards)
0x826f,Set slide speed
0x8270,Slide player
0x8271,Slide player on word axis
0x8272,Rotate player
0x8273,Rotate opponent
0x8275,Push player in Z-axis
0x8276,Push player in X-axis
0x8278,Push player in Y-axis (height)
0x827b,Spawn projectile
0x827c,Projectile vertical spawn distance
0x827d,Projectile lateral spawn distance
0x827e,Projectile Initial Vertical Velocity
0x827f,Projectile Initial Lateral Velocity
0x828b,Enable scaled dmg
0x828c,Inflict scaled dmg (opponent)
0x828d,Inflict scaled dmg (self)
0x8296,2D Jump Height
0x82a5,Inflict Chip dmg (opponent)
0x82a9,Add scaling (downed)
0x82bc,Reset combo meter
0x82be,Add to combo counter
0x82c1,Player visibilty
0x82c2,Opponent visibilty
0x82c5,Spend Tornado
0x82d4,Show Yoshi main sword
0x82d5,Show Yoshi second sword
0x82d6,Yoshi main sword VFX
0x82d7,Yoshi second sword VFX
0x82d8,Yoshi main sword effect
0x82d9,Yoshi second sword effect
0x82e0,Activate Rage if available
0x82e2,Spend Rage
0x82f0,Toggle Neck Tracking
0x82fc,Slow Down Effect
0x8302,Player Stop Motion Effect
0x8303,Opponent Stop Motion Effect
0x830d,Health Bar display/vfx
0x8313,Set Drama Type
0x8314,Set Drama No.
